Year,Yield_Detrended
1998,-0.40467692307691894
1999,0.04834615384615515
2000,-0.3986307692307708
2001,0.32439230769231764
2002,-0.7625846153846083
2003,0.5904384615384657
2004,0.09346153846153982
2005,0.19648461538461381
2006,0.2695076923077022
2007,0.1025307692307762
2008,-0.2944461538461496
2009,-0.39142307692307554
2010,0.5315999999999987
2011,-0.34537692307691326
2012,0.8076461538461608
2013,0.6006692307692352
2014,0.793692307692309
2015,-0.7032846153846168
2016,0.35973846153847155
2017,-0.7472384615384544
2018,-0.5942153846153804
2019,0.0688076923076939
2020,-0.08816923076923233
2021,-0.6351461538461438
2022,0.5778769230769303
