Year,Index_Value_mm
1998,302.4461115740595
1999,364.2109954651623
2000,308.8904347987402
2001,435.1310854004253
2002,204.79249292683033
2003,548.4481035077147
2004,377.37659700179387
2005,357.25849705260424
2006,588.6237383222297
2007,398.4104576405315
2008,317.588910614096
2009,339.6200948329199
2010,543.9607091099024
2011,294.89140222469973
2012,526.4855118550006
2013,542.1220451930449
2014,702.6136369836471
2015,179.77948933272134
2016,606.3531323330742
2017,319.1970158478335
2018,335.5043143708081
2019,312.01840231957885
2020,197.24784473684568
2021,208.97216214168643
2022,540.494782242037
